IMAGEN;NOMBRE;COD_PRODUCTO;CATEGORIA;PRECIO;CANTIDAD
-;TEXTURADO CLARO;-;MAYOLICAS;S/ 28.08;1000
-;TIBET HUESO;-;PORCELANATOS;S/ 23.02;1000
-;TIGIRLLO MARRON;-;PORCELANATOS;S/ 27.09;1000
-;TORMENTA INVERNAL;-;PORCELANATOS;S/ 36.09;1000
-;UNICOLOR PLATA;-;PORCELANATOS;S/ 36.25;1000
-;URANO NEGRO;-;CERAMICAS;S/ 58.69;1000
-;VALENCIA;-;CERAMICAS;S/ 32.62;1000
-;VENATO;-;CERAMICAS;S/ 38.85;1000
-;VENECIA COCINA;-;DECORACIONES;S/ 26.34;1000
-;VENUS GOLD;-;PORCELANATOS;S/ 6.50;1000
-;WFG 66020;-;PORCELANATOS;S/ 29.38;1000
-;WFG66004 MATE;-;PORCELANATOS;S/ 31.88;1000
-;WFG66007;-;PORCELANATOS;S/ 30.73;1000
-;WFG66017;-;PORCELANATOS;S/ 21.61;1000
-;WOOD ARTICO;-;PORCELANATOS;S/ 32.26;1000
-;WOOD GRAFITO;-;PORCELANATOS;S/ 36.69;1000
-;WOOD NATURAL;-;PORCELANATOS;S/ 26.64;1000
-;ZOCALO NEGRO;-;PORCELANATOS;S/ 39.29;1000
